Patch,Fescue Treatment
BSH_C,Spr
BSH_N,Con
BSH_S,SnS
DUN_C,Con
DUN_E,Spr
DUN_W,SnS
GIL_C,SnS
GIL_N,Spr
GIL_S,Con
KLN_C,No
KLN_E,No
KLN_W,No
KLT_E,No
KLT_S,No
KLT_W,No
LTR_C,Spr
LTR_E,SnS
LTR_W,Con
PAW_E,No
PAW_S,No
PAW_W,No
PYN_N,No
PYN_S,No
PYN_W,No
PYS_N,No
PYS_S,No
PYS_W,No
PYW_C,Spr
PYW_N,SnS
PYW_S,Con
RC2_C,Spr
RC2_N,SnS
RC2_S,Con
RCH_E,SnS
RCH_S,SnS
RCH_W,Con
RIN_E,No
RIN_S,No
RIN_W,No
RIS_C,No
RIS_N,No
RIS_S,No
RNR_C,No
RNR_E,No
RNR_W,No
STE_N,Spr
STE_S,SnS
STE_W,Con
