"Pasture_Patch_Year","Patch","Pasture","Year","Treatment","Herbicide.Treatment","TSH","Composite.Variable","CSG","WSG","Fescue","Forbs","Legumes","Woody","Bare","Litter","Seedmix","Robel","Panic","LitDep"
"BSH_C_2014","BSH_C","BSH",2014,"None","Spr","never","2014-never",7.16666666666667,0.533333333333333,36,31.4,4.6,0.533333333333333,3.03333333333333,91.5666666666667,0.0333333333333333,5.51666666666667,0,2.4
"BSH_C_2015","BSH_C","BSH",2015,"None","Spr","0.5","2015-0.5",5.3,14.2333333333333,2.3,46.3,16.2666666666667,0.1,11.9333333333333,79.9,0,3.40833333333333,0.166666666666667,0.816666666666667
"BSH_C_2016","BSH_C","BSH",2016,"None","Spr","1.5","2016-1.5",9.63333333333333,9.06666666666667,0.933333333333333,66.1333333333333,11.7333333333333,0.533333333333333,26,67.3666666666667,0.0333333333333333,9.4,0.266666666666667,1.51666666666667
"BSH_C_2017","BSH_C","BSH",2017,"None","Spr","2.5","2017-2.5",13.7666666666667,8.63333333333333,3.6,68.5333333333333,20.2333333333333,5.96666666666667,51.0666666666667,50.3,0,12.35,0.4,0.483333333333333
"BSH_N_2014","BSH_N","BSH",2014,"None","Con","never","2014-never",3.26666666666667,0.633333333333333,28.1666666666667,29.5,1.66666666666667,0.2,6.66666666666667,88.9666666666667,0,4.24166666666667,0.0666666666666667,1.875
"BSH_N_2015","BSH_N","BSH",2015,"None","Con","never","2015-never",6.03333333333333,0.266666666666667,46.9666666666667,31.5666666666667,16.3333333333333,1.26666666666667,14.1,78.1666666666667,0,2.98333333333333,0,0.916666666666667
"BSH_N_2016","BSH_N","BSH",2016,"None","Con","never","2016-never",27.6333333333333,0.633333333333333,25.1333333333333,38.3333333333333,8.96666666666667,0,2.86666666666667,95.6,0,5.1,0.0333333333333333,4.80833333333333
"BSH_N_2017","BSH_N","BSH",2017,"None","Con","never","2017-never",46,0.4,7.33333333333333,42.0666666666667,5.5,9.43333333333333,7.7,91.7333333333333,0,9.075,0.266666666666667,1.7
"BSH_S_2014","BSH_S","BSH",2014,"None","SnS","never","2014-never",7.8,0,37.7333333333333,26.3333333333333,1.9,0.733333333333333,5.86666666666667,91.2333333333333,0,4.48333333333333,0,1.45833333333333
"BSH_S_2015","BSH_S","BSH",2015,"None","SnS","0.5","2015-0.5",12.2333333333333,4.06666666666667,0.3,49.4333333333333,26.0333333333333,0.0333333333333333,23.3666666666667,73.0333333333333,0,3.94166666666667,0.2,0.666666666666667
"BSH_S_2016","BSH_S","BSH",2016,"None","SnS","1.5","2016-1.5",3.26666666666667,15.3666666666667,0.966666666666667,70.1666666666667,17.2,0.633333333333333,25.2333333333333,69.8,0.0333333333333333,8.4,0.3,2.175
"BSH_S_2017","BSH_S","BSH",2017,"None","SnS","2.5","2017-2.5",5.6,39.2333333333333,0.833333333333333,62.8666666666667,17,2.83333333333333,16.2,85.3333333333333,0.1,12.7166666666667,0.266666666666667,1.21666666666667
"DUN_C_2014","DUN_C","DUN",2014,"None","Con","never","2014-never",55.4333333333333,3.3,1.36666666666667,53.9666666666667,47.7,0,3.73333333333333,88.0666666666667,0.0333333333333333,7.95,0.166666666666667,0.775
"DUN_C_2015","DUN_C","DUN",2015,"None","Con","0.5","2015-0.5",54.2333333333333,2.43333333333333,1.5,13.2333333333333,47.5333333333333,0.1,2.7,91.7,0.0333333333333333,6.61666666666667,0.1,6.25833333333333
"DUN_C_2016","DUN_C","DUN",2016,"None","Con","1.5","2016-1.5",79,2.53333333333333,2.63333333333333,13.4333333333333,20.7666666666667,0.1,6.93333333333333,80.9,0.0666666666666667,2.96666666666667,0.0333333333333333,1.71666666666667
"DUN_C_2017","DUN_C","DUN",2017,"None","Con","2.5","2017-2.5",62.5666666666667,4.43333333333333,6.76666666666667,12.6666666666667,1.83333333333333,2.13333333333333,2.36666666666667,96.8,0,6.19166666666667,0,5.61666666666667
"DUN_E_2014","DUN_E","DUN",2014,"None","Spr","never","2014-never",21,30.4666666666667,1.36666666666667,44.4666666666667,11.8666666666667,0,5.76666666666667,87.6333333333333,0.0666666666666667,8.88333333333333,0.8,1.03333333333333
"DUN_E_2015","DUN_E","DUN",2015,"None","Spr","0.5","2015-0.5",66.1,17.4333333333333,1.73333333333333,25.5,15.8666666666667,0,3.96666666666667,95.6333333333333,0,7.28333333333333,0.633333333333333,2.1
"DUN_E_2016","DUN_E","DUN",2016,"None","Spr","1.5","2016-1.5",40.8666666666667,12.1,0,51.4,28.2333333333333,0,49.5,20.3,0.1,5.35,0.333333333333333,0.391666666666667
"DUN_E_2017","DUN_E","DUN",2017,"None","Spr","2.5","2017-2.5",48.9666666666667,5.06666666666667,1.36666666666667,34.5333333333333,14.0666666666667,2.13333333333333,3.56666666666667,94.8,0.1,7.55,0,7.92
"DUN_W_2014","DUN_W","DUN",2014,"None","SnS","never","2014-never",21.2333333333333,30,1.26666666666667,27.6,23,0,6.23333333333333,87.6333333333333,0,6.91666666666667,0.833333333333333,0.633333333333333
"DUN_W_2015","DUN_W","DUN",2015,"None","SnS","never","2015-never",50,30.8333333333333,1.43333333333333,11.2333333333333,34.7333333333333,0,2.93333333333333,95.6333333333333,0.0333333333333333,5,0.466666666666667,2.95
"DUN_W_2016","DUN_W","DUN",2016,"None","SnS","never","2016-never",17.8,15.0666666666667,0,59.3333333333333,40.0666666666667,0,60.9,25.6666666666667,0.0666666666666667,4.98333333333333,0.233333333333333,0.125
"DUN_W_2017","DUN_W","DUN",2017,"None","SnS","never","2017-never",14.5,29.1,1.2,30.3,23.6333333333333,1.1,0.666666666666667,97.6,0.133333333333333,8.15,0.366666666666667,6.21666666666667
"GIL_C_2014","GIL_C","GIL",2014,"GB","SnS","never","2014-never",7.33333333333333,3.86666666666667,70.3333333333333,21.6,5.56666666666667,1.16666666666667,8.5,76.2666666666667,0.0666666666666667,2.4,0.266666666666667,1.66666666666667
"GIL_C_2015","GIL_C","GIL",2015,"GB","SnS","0.5","2015-0.5",30.6774193548387,30.741935483871,8.48387096774194,24.8064516129032,8.58064516129032,0.0967741935483871,81.8387096774194,12.8709677419355,0.0967741935483871,0.92741935483871,0.354838709677419,0.17741935483871
"GIL_C_2016","GIL_C","GIL",2016,"GB","SnS","1.5","2016-1.5",25.9666666666667,11.0666666666667,8.9,49.8,11.2666666666667,1.16666666666667,14.8,77,0.166666666666667,4.24166666666667,0.3,1.7
"GIL_C_2017","GIL_C","GIL",2017,"GB","SnS","2.5","2017-2.5",18.9210526315789,20.7105263157895,9.63157894736842,46.4473684210526,32.4210526315789,3.31578947368421,7.34210526315789,86.8157894736842,0.263157894736842,5.63815789473684,0.447368421052632,1.43421052631579
"GIL_N_2014","GIL_N","GIL",2014,"GB","Spr","never","2014-never",12.2666666666667,6,68.0666666666667,18.2333333333333,15.0333333333333,1.7,11.3333333333333,68.1,0,1.9,0.333333333333333,1.26666666666667
"GIL_N_2015","GIL_N","GIL",2015,"GB","Spr","0.5","2015-0.5",14.3103448275862,56.3793103448276,2.96551724137931,25.9655172413793,5.44827586206897,0.655172413793103,77.1724137931034,17.5172413793103,0.103448275862069,0.517241379310345,0.344827586206897,0.224137931034483
"GIL_N_2016","GIL_N","GIL",2016,"GB","Spr","1.5","2016-1.5",30.5,5.73333333333333,6.86666666666667,46.8,12.8666666666667,4.43333333333333,6.36666666666667,88.0333333333333,0.0333333333333333,3.10833333333333,0.5,1.46666666666667
"GIL_N_2017","GIL_N","GIL",2017,"GB","Spr","2.5","2017-2.5",30.375,5.375,12.25,36.875,14.9583333333333,1.375,7.45833333333333,87.0833333333333,0,3.625,0.291666666666667,1.41666666666667
"GIL_S_2014","GIL_S","GIL",2014,"GB","Con","never","2014-never",11.8333333333333,0.3,71.5333333333333,23.6,8.43333333333333,3.53333333333333,11.5666666666667,72.4333333333333,0,2.49166666666667,0,1.43333333333333
